irradiance,temperature_panneau,temperature_ambiante,tension_voc,courant_isc,puissance_mpp,tension_mpp,courant_mpp,resistance_serie,resistance_shunt,fill_factor,efficacite,temps_fonctionnement,humidite,vitesse_vent,facteur_idealite,classe
995.7992,15.0,27.9106,35.441,7.0291,140.3114,25.3397,5.5372,4.4203,1921.518,58.3479,9.0188,40780.7055,55.9929,0.3844,1.8512,6
711.1647,17.5533,11.3178,32.9429,6.5093,156.8165,34.5379,4.5404,0.2694,6236.5067,69.605,11.2314,14545.0263,39.5366,20.0,1.2599,5
884.3745,46.0174,17.9126,41.9258,6.8558,117.3718,37.7832,3.1065,1.0382,1010.9049,43.0282,12.5578,39170.6457,73.9598,4.5895,1.6175,1
570.044,32.5341,29.4958,31.0418,0.0323,0.2096,1.2655,0.0,4.4661,6749.5834,47.6261,0.0,41335.3266,25.1464,8.093,1.283,3
649.976,60.6947,26.3746,37.7362,10.7964,320.5,38.0306,8.4274,0.6867,7667.986,78.6668,17.8611,3407.8152,47.0263,8.8175,1.1452,0
387.3773,41.1861,17.4982,35.27,2.803,68.9438,32.5922,2.1153,0.5454,7216.0025,69.5358,12.2481,3196.6576,54.7905,20.0,1.4428,5
285.3741,59.3864,20.842,38.261,0.0105,0.7936,0.2916,0.0,4.9683,4765.9456,45.8012,0.0,19183.8352,42.2945,4.7402,1.2858,3
499.7822,43.8154,30.7877,39.1117,6.8617,187.62,26.3504,7.1202,2.1606,1319.6369,68.0,10.9438,31116.2201,48.3958,2.4459,1.5079,7
687.4594,63.6918,5.9165,30.679,0.0,0.0,0.0,0.0169,4.6773,6942.5929,50.5207,0.0,37093.1171,25.0993,3.2047,1.1998,3
360.6837,32.7571,25.2387,46.7882,0.0295,0.0,0.0,0.0,4.5922,5051.6447,42.8005,0.0,12704.0614,65.1443,11.087,1.1265,3
992.8914,41.5704,20.88,31.2911,4.5733,224.6903,36.9163,6.0865,1.4934,415.1167,54.0,10.5397,29034.1125,26.13,11.2224,1.3507,1
928.4741,48.2428,13.1286,36.6458,8.6128,359.4457,32.0146,11.2275,0.1907,6808.4716,85.0,18.8391,7172.4679,65.2402,12.5273,1.1918,0
1036.2606,43.3814,44.6474,25.3314,7.354,204.0059,27.8025,7.3377,1.4189,409.5127,62.0,10.2251,16242.4702,65.3273,13.3068,1.6262,4
458.905,53.9196,33.8678,34.2755,7.9886,225.8575,27.3676,8.2527,4.6151,2515.6619,65.0,11.6013,16252.9944,46.0417,4.2649,1.4649,6
658.1058,55.2277,6.303,42.2879,6.4524,160.8619,30.777,5.2267,0.5042,2780.6206,58.0,11.5546,8087.5422,67.6422,10.1643,1.4717,5
770.5115,47.9565,23.7949,28.8418,7.3387,158.7063,33.9772,4.671,1.5674,1760.534,68.0,13.5375,48396.1206,50.9153,13.1477,1.3984,7
326.9665,21.4055,11.261,33.473,2.7355,63.6957,34.9744,1.8212,0.2722,5201.0418,69.5598,10.866,21504.7868,79.3959,10.9363,1.4205,5
356.8336,40.3848,28.9546,16.4789,1.4923,27.7367,10.0418,2.7621,0.2284,100.0,50.0,4.5802,12444.2147,67.5622,0.8428,1.9563,2
993.1165,28.6313,25.5015,43.5961,10.4976,377.4878,32.0802,11.767,0.2736,5882.3135,82.4831,17.9193,3393.9321,58.3004,9.1001,1.2172,0
644.712,38.0057,34.6374,31.2252,5.0272,279.2176,33.5446,8.3238,0.8797,885.8077,54.0,9.783,2351.9692,70.4424,4.5208,1.4484,1
466.2844,62.3157,17.685,30.4467,4.5824,214.0215,29.7817,7.1863,1.5095,1190.8492,54.0,13.455,29966.3167,57.9869,11.2967,1.2627,1
883.83,37.9043,31.0381,34.876,4.6252,257.9825,33.9016,7.6097,0.296,669.8529,54.0,12.2452,29086.4439,61.7007,2.6077,1.5067,1
781.6957,57.2575,21.1056,24.6209,6.7545,154.6829,28.1652,5.492,1.6917,154.1072,62.0,9.7522,30973.084,86.9946,11.7501,1.7681,4
765.5681,56.6261,36.6209,31.9259,5.4155,174.27,20.7366,8.404,0.7376,183.2959,62.0,6.8751,12830.1949,88.3126,5.3559,1.6442,4
525.7066,31.6969,38.1983,43.1099,8.0506,242.1575,32.0941,7.5452,4.4184,3439.5044,65.0,12.8684,34531.6902,57.9095,1.7256,1.2348,6
493.2748,81.3905,42.0935,27.5997,6.7389,193.944,30.0038,6.464,0.5804,266.2764,62.0,4.6467,13670.8281,64.1527,8.4688,1.8526,4
526.9314,28.3505,18.6537,36.8574,4.6433,104.4051,32.2384,3.2385,0.4348,4659.2881,58.9196,14.9311,34339.7427,53.4814,3.4166,1.4285,5
847.0176,52.4753,20.7386,35.5512,5.699,256.0374,31.4348,8.145,1.0832,856.9228,54.0,10.2676,531.0804,70.5399,2.9274,1.659,1
919.043,64.953,5.0276,33.9181,8.3333,353.017,39.3696,8.9667,4.0074,4118.5023,65.0,13.0922,8159.6139,78.9201,4.7023,1.3663,6
457.1728,48.6976,18.533,35.125,4.5298,108.5477,30.611,3.546,0.5934,2468.66,69.0419,12.3635,27967.5448,49.9032,12.3418,1.1946,5
298.6694,36.3189,38.1046,10.9929,1.5056,5.1278,7.7246,0.6638,0.1696,100.0,40.0,2.6464,18987.1431,36.36,7.9302,1.5651,2
504.5995,65.827,20.8123,38.3341,7.6128,202.0008,31.8434,6.3436,0.7337,1160.0256,68.0,10.0106,38820.9979,34.5085,17.1908,1.4208,7
723.9123,68.2842,26.0314,44.1671,8.1776,276.6702,32.1907,8.5947,4.4415,1209.4971,65.0,11.4241,7784.9147,45.5246,10.5203,1.6172,6
603.3354,50.5465,33.253,22.2625,0.3879,31.29,11.6793,2.6791,0.31,127.2223,50.0,1.5738,10111.3557,89.986,2.93,1.7757,2
862.7846,40.6756,32.2731,31.5061,7.603,135.0859,26.6869,5.0619,1.3454,198.5384,55.2034,9.8064,28876.6717,39.5971,5.6705,1.9926,4
921.6265,39.1711,45.0,30.3148,8.6734,163.7058,25.3932,6.4469,1.4873,262.2662,60.4793,6.1358,21412.1521,87.5473,9.136,1.677,4
613.0256,47.0199,42.3395,23.0488,6.4579,99.2066,22.0811,4.4928,1.7933,467.9014,62.0,6.0212,21202.9243,88.792,3.2394,1.7457,4
449.4259,17.1591,17.3269,34.0515,4.6959,122.5438,30.4513,4.0242,1.1998,352.1073,54.0,14.3176,36526.5474,35.6525,13.6812,1.7415,1
872.4754,66.7839,19.0572,38.7816,8.004,392.9607,34.3143,11.4518,0.4591,6447.5922,85.0,18.779,6096.6165,35.1632,4.4606,1.1985,0
701.1116,66.6694,34.9231,28.7419,5.9442,135.2617,20.2818,6.6691,1.5895,571.4911,62.0,5.3903,31989.6895,72.2931,4.3144,1.6184,4
477.5837,33.034,26.404,38.6688,6.553,217.9437,36.3098,6.0023,3.5765,2755.1328,65.0,14.8355,2502.8375,65.4314,3.0385,1.5186,6
163.8809,28.4966,-4.4212,35.2057,0.0,0.5571,0.0,0.0,4.8516,3123.0021,41.8869,0.1342,10833.8636,32.7479,8.8769,1.5019,3
638.8726,55.9203,6.7928,20.5872,0.9711,6.1757,4.149,1.4885,0.3423,130.9966,40.0,0.9317,16278.575,39.2879,9.1035,1.5113,2
577.5123,54.5953,31.031,34.0975,5.3878,138.8181,30.3818,4.5691,0.4449,3720.0602,75.3629,14.7114,20107.8925,64.825,9.2297,1.1204,5
784.6456,40.0284,32.7069,40.8438,5.2726,214.9773,25.8227,8.3251,0.1,708.272,54.0,10.2927,34494.2789,60.8474,3.6401,1.5096,1
688.3398,28.3989,16.815,40.4477,9.0796,396.2842,37.3239,10.6174,0.561,7616.7747,85.0,21.6641,4377.9733,17.3113,6.9297,1.3551,0
908.5963,34.5142,25.7924,41.6089,11.7067,358.4392,36.8111,9.7373,0.6377,7207.5947,73.586,21.1243,2877.4885,37.5031,4.8449,1.3721,0
842.2554,77.5328,16.0248,21.2334,1.6698,6.1621,10.9324,0.5637,0.6517,134.2682,40.0,3.4139,6317.2984,44.327,18.0407,1.5357,2
779.0868,36.4153,25.1691,42.2654,10.2851,286.8942,34.4737,8.3221,0.7636,6171.2613,65.9977,19.2054,18935.6585,44.1265,9.303,1.1901,0
643.7609,23.6914,12.6491,36.0529,5.0588,99.9059,28.2479,3.5368,0.4757,3348.3144,58.0,16.0,26954.4345,61.6309,6.0955,1.3964,5
543.1754,43.2129,20.8684,35.8527,5.0215,112.8439,35.7899,3.153,0.4032,3962.4894,62.2792,9.8341,14524.4329,18.3245,0.9532,1.3727,5
517.8713,31.8366,14.8187,42.2294,4.4816,98.4446,30.4263,3.2355,0.2313,7694.3476,58.0,14.476,5557.6209,25.3064,2.3055,1.4201,5
863.1484,64.82,27.4217,41.2867,11.0368,351.8844,30.4367,11.5612,0.1,5941.6503,77.223,18.1306,14960.8725,23.5653,4.6382,1.2879,0
1064.7434,30.4063,30.1338,43.2499,9.1037,344.4325,34.9768,9.8475,0.7207,3622.1664,85.0,16.6133,13879.5073,32.3767,8.6219,1.1012,0
468.6946,62.5165,15.1885,39.6366,6.4024,213.7771,29.0856,7.3499,2.0173,1260.0149,68.0,10.9179,35801.0917,20.1608,8.6545,1.7964,7
669.3112,40.1141,18.5757,39.7522,10.2888,374.527,36.0778,10.3811,0.1686,6559.9374,85.0,20.9124,18936.435,45.366,8.5211,1.1446,0
873.2433,71.7173,30.2637,25.4018,6.6186,159.0935,26.8506,5.9251,0.9338,470.3515,62.0,8.8786,8190.6661,68.0501,11.66,1.5759,4
977.2983,71.9918,39.4194,28.4219,8.0398,69.2235,25.6724,2.6964,0.4332,577.8131,40.0,9.3787,15744.028,60.5406,11.4905,1.8735,4
268.8985,33.7415,14.6363,46.1112,0.0,0.1113,0.0,0.0,4.9352,7922.0218,44.8446,0.3212,22354.2222,13.4587,4.6774,1.1866,3
512.8435,58.6351,25.5331,28.8228,0.0285,0.0,0.5257,0.0,4.4045,5151.3994,47.532,0.0,19975.344,62.7009,7.7873,1.4483,3
695.4043,33.0023,12.674,16.8045,0.3643,2.7256,4.2825,0.6364,0.2933,100.0,44.9041,4.0126,19883.7307,51.72,14.3331,1.8992,2
610.3809,25.9238,29.695,40.5361,7.7987,265.2493,33.3514,7.9532,1.9759,1267.6048,68.0,13.61,36185.8388,44.145,12.0548,1.3777,7
733.0927,46.0782,21.2367,36.4413,8.9868,420.8723,35.0744,11.9994,0.6196,4336.6363,85.0,18.1895,7040.2237,22.2641,7.2846,1.2668,0
1089.223,37.7626,29.1965,41.973,9.3101,289.2269,31.8659,9.0764,0.346,5821.1925,74.0144,18.6598,6940.3509,44.4131,13.0053,1.3141,0
382.0895,49.7699,11.4032,34.5178,2.8981,65.0214,31.8603,2.0408,0.792,6331.428,63.8453,10.1234,13129.0605,87.855,6.0859,1.0839,5
370.4945,39.164,13.3666,22.4232,0.3173,22.801,4.7656,4.7845,0.5578,112.5702,50.0,2.8668,8123.2386,37.7394,5.2349,1.713,2
967.5755,37.7123,14.9549,33.8684,6.6144,147.0779,26.2273,5.6078,0.418,366.1536,54.0,14.6423,513.9324,45.0975,13.1278,1.5775,1
875.0833,46.0579,15.9983,41.6363,7.9136,365.7765,30.0538,12.1707,0.1281,8076.2144,85.0,17.3661,16145.8592,23.0653,5.6006,1.3349,0
990.7655,56.3668,11.2659,41.8158,10.5179,387.0682,35.4965,10.9044,0.6825,3739.6849,85.0,19.6776,15610.9006,29.9924,5.7449,1.1555,0
893.1958,48.4583,24.584,29.1465,0.0,0.0,0.1622,0.0,4.7707,7096.9646,45.4121,0.0,4897.3018,40.031,4.4539,1.3468,3
448.9361,75.4761,22.2904,9.073,0.24,17.0296,14.016,1.215,0.1817,100.0,50.0,3.1721,9984.4189,56.362,1.8315,1.7918,2
618.0595,73.6086,11.8677,36.6709,7.2139,263.2756,37.8129,6.9626,4.8389,4123.4693,65.0,13.1224,30748.3623,84.9734,15.3562,1.536,6
830.3728,61.6937,30.4367,28.6433,5.6207,168.0928,28.2269,5.9551,1.6904,602.9916,62.0,8.939,9012.1822,95.0,3.4364,1.5582,4
508.7642,52.9325,34.8819,43.6222,7.4533,152.9999,31.8189,4.8085,0.2536,1014.5729,43.9672,12.3988,13000.2486,73.2827,7.6304,1.5152,1
785.8242,37.0747,9.6609,36.0397,6.8158,246.937,28.736,8.5933,4.3097,948.7949,65.0,15.0462,13227.4113,59.9379,10.1537,1.3531,6
1147.96,19.7556,15.8206,5.6059,0.106,20.3308,7.199,2.8241,0.3415,100.0,50.0,4.7282,1426.9379,95.0,2.3908,1.6047,2
984.0698,42.3423,32.5593,25.3658,6.1558,89.7306,28.7872,3.117,0.7863,148.2341,58.8138,7.1389,10124.6188,56.412,14.5267,1.4339,4
627.4623,34.819,13.4652,42.651,5.5547,158.2885,31.1295,5.0848,0.5281,1195.7396,54.0,14.3771,37613.604,28.0095,7.8793,1.4299,1
359.0949,32.7881,23.0241,7.3694,1.4131,10.1539,2.1476,4.728,0.181,128.2004,50.0,4.3073,28331.5917,31.2332,1.7281,1.8499,2
316.723,65.2333,12.2825,36.1831,0.002,0.0,0.0,0.0668,4.2152,2631.9548,46.2686,0.0,27802.2711,15.9314,0.6266,1.4161,3
885.4452,67.0057,16.134,30.3079,7.8362,262.4853,35.5249,7.3888,1.3664,1271.6617,68.0,12.9034,31440.3069,26.668,6.6039,1.4249,7
857.7638,28.6337,24.1637,33.5781,0.0,0.0,0.0,0.0378,4.1953,3540.9951,42.6741,0.0657,3373.2786,22.3811,3.8365,1.3215,3
620.2856,65.2652,34.1089,31.9473,6.9595,200.484,18.1238,11.0619,1.4135,137.4356,62.0,8.1132,35968.2217,59.1278,8.7271,1.7597,4
775.3919,56.7096,21.0467,37.0036,10.9865,322.9133,36.5021,8.8464,0.4828,8525.0086,79.4293,16.3565,13573.4785,51.1778,0.8002,1.2226,0
833.9301,27.9753,17.4424,15.6037,1.2724,4.2889,12.53,0.3423,0.607,100.0,40.0,4.4741,26860.043,82.3832,12.799,1.5256,2
849.9467,34.5177,26.96,39.4661,8.6396,401.6821,36.2185,11.0905,0.5467,4269.6959,85.0,18.1167,3387.0245,47.1675,11.3737,1.1017,0
780.2361,41.6684,32.1731,37.1652,4.7673,167.3828,29.3479,5.7034,0.5967,1410.8172,54.0,8.0545,19473.4462,48.0899,4.8163,1.8377,1
982.5062,40.3474,31.9299,13.084,0.4892,33.5796,6.1915,5.4235,0.8419,100.0,50.0,2.195,14896.5318,83.3585,12.7495,1.7511,2
959.4386,43.5211,36.7956,13.277,0.7524,21.266,14.5444,1.4621,0.3239,100.0,50.0,2.2828,28237.0446,58.5395,9.4552,1.8575,2
1073.589,74.7711,36.0276,27.0539,8.0846,69.6573,17.6222,3.9528,1.2117,589.1129,40.0,6.3651,29302.5371,92.8036,2.5792,1.5735,4
858.0099,19.8248,15.2087,21.3355,1.9163,30.6076,4.2614,7.1825,0.8297,100.0,50.0,3.5696,24138.4826,46.3589,17.9018,1.9308,2
503.0617,58.6303,7.1826,32.9738,4.5097,107.2204,30.3558,3.5321,0.6742,3930.342,73.6233,13.5219,25195.4049,13.8003,0.0806,1.1755,5
674.3664,31.4651,12.921,36.4639,6.1841,139.6757,29.5904,4.7203,0.4768,6798.3572,60.5252,10.9225,14053.5757,16.7915,7.1531,1.1806,5
503.8064,67.923,22.695,25.9409,5.2518,133.9719,20.178,6.6395,0.2747,143.1223,62.0,4.6546,13069.2733,37.6546,12.8074,1.8361,4
554.4178,39.8302,8.2578,41.3316,9.4333,270.1751,36.6935,7.363,1.1577,1421.0834,68.0,10.2244,48616.7873,40.5824,4.8431,1.4023,7
504.9036,46.2931,35.5882,29.0732,5.8836,97.7175,21.2705,4.594,0.3578,307.7068,58.4263,11.2465,37061.5257,89.6329,14.674,2.0,4
1088.4687,25.5794,25.6481,42.7208,9.1914,352.7497,31.0603,11.3569,0.4332,7524.8199,85.0,19.6255,9808.9507,37.9548,0.0,1.4292,0
541.2433,67.372,19.9751,32.6058,9.9112,353.6435,36.8121,9.6067,4.689,2929.6942,65.0,15.9397,22606.9743,32.5497,2.7149,1.6028,6
711.8222,62.8485,22.018,4.5128,2.1895,3.736,8.0012,0.4669,0.8435,100.0,40.0,1.0444,18236.2376,78.0104,1.7402,1.6038,2
438.439,61.0786,11.7935,33.6819,8.943,332.2882,30.3447,10.9504,4.0083,1261.9572,65.0,11.2684,13693.7369,18.2705,1.8416,1.3847,6
704.4838,44.0852,18.5578,34.636,10.0198,229.1838,35.3809,6.4776,3.7897,3326.6259,64.8165,17.49,28529.9967,26.1642,13.5904,1.5332,6
695.2051,46.7639,34.5101,24.1499,8.0998,119.68,23.5525,5.0814,0.6074,291.3163,62.0,8.1297,24012.3687,89.1983,12.4534,1.6876,4
541.484,52.6997,27.761,43.9387,4.465,117.7259,36.6577,3.2115,0.338,4516.7129,58.0657,11.7786,22501.2425,32.8603,18.8448,1.2902,5
702.1961,67.1428,19.4149,15.4413,0.7272,22.7553,13.3855,1.7,0.4202,100.0,50.0,3.2081,11772.1781,33.5726,15.1482,1.9336,2
982.739,56.6225,44.8337,22.0407,5.2436,98.7752,27.2399,3.6261,0.4425,288.1829,62.0,9.5149,35954.9717,45.3693,4.4503,1.9068,4
801.8213,77.3796,34.3105,24.0791,5.3274,186.1622,29.0707,6.4038,1.3765,577.2678,62.0,4.9961,29283.5017,43.0282,14.9995,1.9533,4
1059.3142,33.7916,29.3923,44.7307,10.6307,388.5678,31.5089,12.332,0.5186,4669.3795,81.7144,16.499,4281.9241,51.7143,3.4718,1.3926,0
1074.7769,33.0181,18.1501,35.4697,9.991,358.3209,39.8585,8.9898,0.3075,5836.3724,85.0,19.6732,4783.8908,49.1908,5.1211,1.3625,0
799.0606,40.8135,31.5998,30.9338,6.9834,181.3727,35.1491,5.1601,0.5426,403.8424,54.0,15.2161,17996.5415,40.7462,11.6755,1.6578,1
673.2467,19.5304,19.6239,37.9215,0.0469,1.1412,0.11,0.1,4.591,5571.721,43.6761,0.2168,41951.7222,48.4909,20.0,1.2962,3
945.8913,28.7622,26.1482,44.306,10.2422,354.1495,29.6618,11.9396,0.1008,7705.2277,78.0424,19.9908,7899.8692,22.7373,3.0277,1.2708,0
710.2354,82.5536,40.9286,31.8141,8.0553,113.9967,26.3217,4.3309,1.1355,400.8286,43.2121,4.5985,16120.4539,70.5433,3.9639,1.8351,4
512.6036,45.703,12.6747,30.7578,9.1679,170.6243,30.8212,5.5359,2.363,977.7814,58.989,12.4443,43554.0719,63.0659,0.0,1.4302,7
242.4849,37.1347,37.29,20.1704,0.4739,13.9905,14.3505,0.9749,0.5831,100.0,50.0,2.6633,8837.17,40.6171,2.3336,1.7302,2
942.615,51.4984,9.5639,40.6961,8.2472,407.7154,34.1249,11.9477,0.5735,6069.3989,85.0,19.913,3597.0331,30.0151,4.4386,1.3251,0
808.4702,30.0159,28.2993,17.5342,0.7685,31.6777,7.369,4.2988,0.1,100.0,50.0,2.9141,2435.3968,55.8824,10.0014,1.8928,2
688.3694,62.9721,33.5813,19.5838,2.4468,30.081,7.2921,4.1251,0.3678,143.6616,50.0,3.0853,16619.3511,76.8376,6.7245,1.7214,2
627.8544,25.2969,17.8604,35.7813,6.7985,297.0995,27.0492,10.9837,1.0173,591.0409,54.0,14.0919,38186.941,29.7175,8.0269,1.5968,1
654.1875,53.9457,14.3022,32.7757,7.2613,271.0301,29.7102,9.1225,4.5097,2805.8598,65.0,13.804,12145.3625,37.7417,7.8445,1.2088,6
538.3202,20.7292,39.7685,41.2232,0.0,0.1501,0.0301,0.0597,4.4813,7090.3956,44.8107,0.0,6404.0992,65.8468,17.8273,1.0613,3
1044.7522,72.1822,16.7253,38.5358,9.2481,265.779,36.1282,7.3565,1.0248,2062.532,68.0,13.143,36549.6368,73.4572,12.8649,1.6879,7
504.1584,53.3688,14.3476,31.9344,4.2917,185.3047,35.2118,5.2626,1.0461,912.1973,54.0,12.8466,18509.1391,82.5789,6.054,1.7904,1
422.2456,41.7255,16.0219,32.4004,6.3204,117.9481,26.9695,4.3734,1.3562,941.9642,54.0,13.2684,35656.5981,45.0326,0.5304,1.4834,1
341.8191,25.2034,11.0662,37.2029,9.0414,316.0943,32.1036,9.8461,4.4541,2078.1862,65.0,12.969,41450.2297,32.8202,0.0,1.6417,6
714.5272,62.525,20.1461,27.8292,0.0108,0.0,0.0,0.0,4.5325,7647.8747,45.7891,0.0,5246.3098,29.279,6.2411,1.336,3
421.6657,52.8261,26.9076,31.1337,3.8338,211.3455,32.1321,6.5774,1.1114,1007.1967,54.0,9.7274,30417.4053,29.7859,12.3544,1.619,1
405.7104,42.0096,20.6845,33.3806,6.1689,259.9558,37.0208,7.0219,4.2083,1701.9327,65.0,16.0089,7942.7056,75.0232,16.7323,1.225,6
906.8054,33.7007,12.6515,45.6773,10.6638,400.8788,38.9953,10.2802,0.6286,3218.8589,82.2999,18.6394,6115.9024,39.7155,1.722,1.1068,0
557.7524,33.1417,23.2592,41.716,6.5932,170.8072,26.8644,6.3581,1.1884,720.0979,54.0,10.5026,26034.615,36.5714,0.0,1.695,1
866.0107,50.7598,33.652,25.2202,6.4309,110.5186,18.0763,6.114,1.0778,406.3044,62.0,8.3431,12826.4509,56.7029,7.4266,1.7322,4
997.2214,71.0572,8.0722,9.4272,0.6815,17.3899,13.3484,1.3028,0.2024,100.0,50.0,0.8901,1101.4576,89.1018,11.9968,1.6831,2
1070.3182,46.5482,20.8902,41.6726,10.8255,316.2592,37.4697,8.4404,0.6586,4025.5151,70.1041,17.6139,6158.8077,52.6791,8.4401,1.3398,0
489.3273,55.8096,-0.6805,27.4587,0.055,0.0368,0.0,0.0456,4.4872,6566.828,46.0265,0.0,6581.2904,28.2998,15.3161,1.5058,3
432.3012,41.182,15.3072,37.2226,9.0584,288.2525,29.2984,9.8385,1.9421,874.5731,68.0,14.3992,33678.5928,61.9881,0.8299,1.8251,7
432.6304,30.6166,35.22,34.5741,5.5585,228.5953,29.4076,7.7733,4.1244,4573.7625,65.0,14.4216,35613.7528,35.7096,12.823,1.3914,6
667.8432,45.3505,24.7086,34.1281,7.1279,213.1924,26.7853,7.9593,0.4142,1064.5075,54.0,12.2488,1434.663,65.6865,4.151,1.4831,1
1091.3505,31.0062,25.7676,39.489,9.8921,424.7943,36.5114,11.6346,0.6064,8128.9862,85.0,18.2262,6386.102,66.963,6.4567,1.2504,0
1068.8205,79.0054,41.9599,22.6339,7.1892,96.003,18.5862,5.1653,1.8795,100.0,61.2914,8.396,28155.2455,47.8097,0.0,1.8804,4
525.7729,77.3595,25.324,30.2052,8.6924,136.235,26.0864,5.2225,0.7806,435.8747,56.1226,4.241,19897.2494,75.1078,4.6883,1.8072,4
